date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-06-05,3627.79,3634.45,3597.11,3593.95,88642016.0,-1.36,-0.04,3619.712,3624.98,3647.38,91977422.4,96079149.6,104437193.6
2019-06-04,3632.56,3636.13,3598.47,3584.46,87097096.0,-33.54,-0.92,3633.072,3630.207,3650.897,92920107.2,97049560.8,105648460.8
2019-06-03,3640.61,3672.81,3632.01,3613.13,100723176.0,2.22,0.06,3647.83,3637.038,3657.007,99077936.0,99442143.2,107935988.8
2019-05-31,3641.0,3668.18,3629.79,3627.54,89222264.0,-11.39,-0.31,3648.868,3635.616,3659.638,100699475.2,100266173.6,112773474.8
2019-05-30,3648.85,3650.97,3641.18,3612.62,94202560.0,-22.73,-0.62,3641.692,3637.513,3673.809,99041832.0,104189271.2,114124030.4
2019-05-29,3642.54,3693.23,3663.91,3637.35,93355440.0,-8.35,-0.23,3630.248,3647.791,3686.766,100180876.8,106394842.4,117107448.8
2019-05-28,3633.02,3683.23,3672.26,3627.79,117886240.0,35.06,0.96,3627.342,3654.109,3698.034,101179014.4,108075475.2,119540080.0
2019-05-27,3592.6,3648.03,3637.2,3556.26,108830872.0,43.29,1.21,3626.246,3651.398,3711.512,99806350.4,106518197.6,121631871.2
2019-05-24,3584.9,3623.39,3593.91,3580.79,80934048.0,9.95,0.28,3622.364,3654.551,3731.157,99832872.0,105974296.0,123465262.0
2019-05-23,3629.53,3631.47,3583.96,3578.11,99897784.0,-65.42,-1.79,3633.334,3668.205,3752.412,109336710.4,112681276.8,127199142.0
2019-05-22,3663.15,3679.27,3649.38,3634.75,98346128.0,-17.4,-0.47,3665.334,3669.779,3774.494,112608808.0,112795237.6,131671940.0
2019-05-21,3619.44,3690.09,3666.78,3610.68,111022920.0,48.99,1.35,3680.876,3671.587,3798.056,114971936.0,114247360.8,134294379.2
2019-05-20,3635.74,3644.5,3617.79,3583.83,108963480.0,-30.97,-0.85,3676.55,3676.976,3818.321,113230044.8,116429834.4,136071338.8
2019-05-17,3744.88,3745.36,3648.76,3637.58,128453240.0,-95.2,-2.54,3686.738,3683.659,3841.793,112115720.0,125280776.0,139641520.8
2019-05-16,3720.04,3745.14,3743.96,3707.9,116258272.0,16.87,0.45,3703.076,3710.104,3863.645,116025843.2,124058789.6,143320956.4
2019-05-15,3674.99,3741.04,3727.09,3674.99,110161768.0,81.94,2.25,3674.224,3725.741,3875.223,112981667.2,127820055.2,146640321.2
2019-05-14,3630.44,3683.26,3645.15,3630.44,102313464.0,-23.58,-0.64,3662.298,3741.959,3888.299,113522785.6,131004684.8,147925338.4
2019-05-13,3675.76,3702.9,3668.73,3658.0,103391856.0,-61.72,-1.65,3677.402,3771.626,3905.921,119629624.0,136745544.8,151262147.6
2019-05-10,3643.06,3732.92,3730.45,3589.29,148003856.0,130.75,3.63,3680.58,3807.762,3926.777,138445832.0,140956228.0,155826935.6
2019-05-09,3637.35,3656.9,3599.7,3584.82,101037392.0,-67.76,-1.85,3717.132,3836.618,3944.026,132091736.0,141717007.2,157574583.6
2019-05-08,3648.55,3722.93,3667.46,3642.5,112867360.0,-53.21,-1.43,3777.258,3879.209,3966.902,142658443.2,150548642.4,165897993.2
2019-05-07,3702.27,3738.18,3720.67,3671.83,132847656.0,36.05,0.98,3821.62,3924.524,3986.641,148486584.0,154341397.6,173275172.4
2019-05-06,3775.08,3791.61,3684.62,3647.14,197472896.0,-228.59,-5.84,3865.85,3959.665,4001.715,153861465.6,155712843.2,178228657.6
2019-04-30,3887.18,3923.11,3913.21,3885.15,116233376.0,12.88,0.33,3934.944,3999.927,4016.049,143466624.0,154002265.6,179655029.6
2019-04-29,3896.58,3953.23,3900.33,3875.45,153870928.0,11.06,0.28,3956.104,4017.185,4019.085,151342278.4,162583123.2,187412496.8
2019-04-26,3921.89,3943.83,3889.27,3887.25,142008064.0,-52.55,-1.33,3981.16,4024.704,4017.685,158438841.6,165460587.2,190500905.6
2019-04-25,4013.6,4022.56,3941.82,3938.33,159722064.0,-88.27,-2.19,4027.428,4034.639,4009.642,160196211.2,164845992.0,190064108.8
2019-04-24,4033.63,4044.34,4030.09,3967.81,145498688.0,11.08,0.28,4053.48,4040.215,3999.72,157564220.8,165778750.4,189015928.0
2019-04-23,4021.63,4061.09,4019.01,4005.28,155611648.0,-6.6,-0.16,4064.91,4045.791,3983.238,164537907.2,170697643.2,190393322.4
2019-04-22,4125.97,4126.09,4025.61,4015.47,189353744.0,-95.0,-2.31,4078.266,4051.433,3969.429,173823968.0,173432160.0,192542056.0
2019-04-19,4076.3,4120.64,4120.61,4046.2,150794912.0,48.53,1.19,4068.248,4054.595,3959.838,172482332.8,181247344.0,191642218.4
2019-04-18,4085.11,4094.05,4072.08,4056.24,146562112.0,-15.16,-0.37,4041.85,4048.757,3945.652,169495772.8,192208947.2,193917988.0
2019-04-17,4080.72,4106.62,4087.24,4057.5,180367120.0,1.45,0.04,4026.95,4043.765,3933.82,173993280.0,200744472.0,195371487.2
2019-04-16,3958.1,4085.79,4085.79,3943.49,202041952.0,110.27,2.77,4026.672,4032.17,3921.156,176857379.2,205307793.6,195439486.4
2019-04-15,4056.49,4085.39,3975.52,3974.23,182645568.0,-13.1,-0.33,4024.6,4020.984,3909.454,173040352.0,212241870.4,196183791.2
2019-04-12,3986.78,4006.93,3988.62,3961.46,135862112.0,-8.96,-0.22,4040.942,4010.666,3897.929,190012355.2,215541224.0,195810240.8
2019-04-11,4083.46,4097.12,3997.58,3990.24,169049648.0,-88.27,-2.16,4055.664,3984.644,3883.422,214922121.6,215282225.6,198557996.8
2019-04-10,4062.44,4115.38,4085.85,4035.47,194687616.0,10.42,0.26,4060.58,3959.225,3869.753,227495664.0,212253105.6,201789626.4
2019-04-09,4063.81,4084.24,4075.43,4038.28,182956816.0,18.2,0.45,4037.668,3920.684,3853.228,233758208.0,210089001.6,205801565.6
2019-04-08,4097.1,4122.6,4057.23,4017.49,267505584.0,-5.0,-0.12,4017.368,3887.424,3835.954,251443388.8,211651952.0,208199368.0
2019-04-04,4039.74,4072.11,4062.23,4021.71,260410944.0,40.07,1.0,3980.39,3865.081,3815.971,241070092.8,202037092.8,210723592.8
